freq_Hz,freq_GHz,lineshape_1_per_Hz
37115989750.207436,37.115989750207,5.147292359360e-09
37115989935.788109,37.115989935788,5.248846408959e-09
37115990121.368782,37.115990121369,5.352270271504e-09
37115990306.949455,37.115990306949,5.457595567926e-09
37115990492.530128,37.115990492530,5.564854397807e-09
37115990678.110809,37.115990678111,5.674079350087e-09
37115990863.691483,37.115990863691,5.785303491262e-09
37115991049.272156,37.115991049272,5.898560398623e-09
37115991234.852829,37.115991234853,6.013884148734e-09
37115991420.433502,37.115991420434,6.131309328305e-09
37115991606.014175,37.115991606014,6.250871040669e-09
37115991791.594849,37.115991791595,6.372604912332e-09
37115991977.175529,37.115991977176,6.496547104712e-09
37115992162.756203,37.115992162756,6.622734300336e-09
37115992348.336876,37.115992348337,6.751203740140e-09
37115992533.917549,37.115992533918,6.881993209968e-09
37115992719.498222,37.115992719498,7.015141052479e-09
37115992905.078896,37.115992905079,7.150686174056e-09
37115993090.659569,37.115993090660,7.288668051791e-09
37115993276.240250,37.115993276240,7.429126746349e-09
37115993461.820923,37.115993461821,7.572102885873e-09
37115993647.401596,37.115993647402,7.717637707798e-09
37115993832.982269,37.115993832982,7.865773043084e-09
37115994018.562943,37.115994018563,8.016551329238e-09
37115994204.143616,37.115994204144,8.170015617668e-09
37115994389.724297,37.115994389724,8.326209587585e-09
37115994575.304970,37.115994575305,8.485177527691e-09
37115994760.885643,37.115994760886,8.646964382252e-09
37115994946.466316,37.115994946466,8.811615733141e-09
37115995132.046989,37.115995132047,8.979177813880e-09
37115995317.627663,37.115995317628,9.149697517382e-09
37115995503.208336,37.115995503208,9.323222403753e-09
37115995688.789017,37.115995688789,9.499800715490e-09
37115995874.369690,37.115995874370,9.679481356245e-09
37115996059.950363,37.115996059950,9.862313942381e-09
37115996245.531036,37.115996245531,1.004834878212e-08
37115996431.111710,37.115996431112,1.023763689088e-08
37115996616.692383,37.115996616692,1.043022999943e-08
37115996802.273056,37.115996802273,1.062618056219e-08
37115996987.853737,37.115996987854,1.082554177378e-08
37115997173.434410,37.115997173434,1.102836754449e-08
37115997359.015083,37.115997359015,1.123471255793e-08
37115997544.595757,37.115997544596,1.144463224683e-08
37115997730.176430,37.115997730176,1.165818280981e-08
37115997915.757103,37.115997915757,1.187542121997e-08
37115998101.337784,37.115998101338,1.209640524278e-08
37115998286.918457,37.115998286918,1.232119340835e-08
37115998472.499130,37.115998472499,1.254984507476e-08
37115998658.079803,37.115998658080,1.278242040074e-08
37115998843.660477,37.115998843660,1.301898036368e-08
37115999029.241150,37.115999029241,1.325958676863e-08
37115999214.821823,37.115999214822,1.350430225736e-08
37115999400.402504,37.115999400403,1.375319032785e-08
37115999585.983177,37.115999585983,1.400631530236e-08
37115999771.563850,37.115999771564,1.426374239812e-08
37115999957.144524,37.115999957145,1.452553769589e-08
37116000142.725197,37.116000142725,1.479176815948e-08
37116000328.305870,37.116000328306,1.506250164523e-08
37116000513.886551,37.116000513887,1.533780692289e-08
37116000699.467224,37.116000699467,1.561775363980e-08
37116000885.047897,37.116000885048,1.590241239835e-08
37116001070.628571,37.116001070629,1.619185472063e-08
37116001256.209244,37.116001256209,1.648615306941e-08
37116001441.789917,37.116001441790,1.678538085792e-08
37116001627.370590,37.116001627371,1.708961245975e-08
